,Title,Link
1,A Blockchain-Based Scalability Solution with Microgrids Peer-to-Peer Trade,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_0e10360bb5ed46c9bb7cbcd7e9cd5578
2,A primer on oracle economics,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_primary_10_1016_j_jcorpfin_2025_102800
3,AI-driven blockchain for secure and scalable federated learning in 6G-NTN-enabled UAV networks,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_scitation_primary_10_1063_5_0293257
4,Blockchain technologies and their application in security software development,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_crossref_primary_10_37868_sei_v7i1_id499
5,Blockchain technology – a new era of ecolabelling schemes?,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_proquest_journals_2534564077
6,Break down the decentralization-security-privacy trilemma in management of distributed energy systems,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_699338c622884d9790c5e2aac74369b8
7,Confidential Smart Contracts and Blockchain to Implement a Watermarking Protocol,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_e01c1949bfae49f1843e9f21edd09c4d
8,Design and Implementation of a Blockchain-Enabled Transactive Energy Market,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_crossref_citationtrail_10_1109_ACCESS_2024_3440180
9,How can we enhance reputation in Blockchain consensus for Industry 4.0–A proposed approach by extending the PageRank algorithm,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_2ca65b60d99443cf8850cd30df72d213
10,Industry 5.0 or industry 4.0S? Introduction to industry 4.0 and a peek into the prospective industry 5.0 technologies,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_9899508
11,Resilience-Driven Scheme in Multiple Microgrids With Secure Transactive Energy System Framework,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_ieee_primary_10195999
12,Scalability Solutions in Blockchain-Supported Manufacturing: A Survey,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_crossref_citationtrail_10_5545_sv_jme_2022_355
13,State-of-the-Art Analysis and Perspectives for Peer-to-Peer Energy Trading,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_78aa8d8fee884d1094b2642b683ab713
14,SymBChainSim: A Novel Simulation System for Info-Symbiotic Blockchain Management,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_primary_10_1145_3704917
15,端对端能源交易现状分析与展望,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_wanfang_journals_gc_e202007008
