,Source Link,Title
0,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_proquest_journals_2534564077,Blockchain technology – a new era of ecolabelling schemes?
1,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_78fef71ade734fa28135bccd612c65ae,"The Blockchain Trilemma: A Formal Proof of the Inherent Trade-Offs Among Decentralization, Security, and Scalability"
2,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_c7e5b0edd5594746a89f63543ca08196,Blockweave: An Arweave‐Based Decentralized Storage Solution to Tackle the Blockchain Trilemma
3,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_primary_10_3390_fintech1040025,Pravuil: Global Consensus for a United World
4,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_ieee_primary_10938405,Cloud-Edge-End Collaborative Computing-Enabled Intelligent Sharding Blockchain for Industrial IoT Based on PPO Approach
5,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_proquest_reports_2320830708,Cryptocurrency and Blockchains: Retail to Institutional
6,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_699338c622884d9790c5e2aac74369b8,Break down the decentralization-security-privacy trilemma in management of distributed energy systems
8,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_2ca65b60d99443cf8850cd30df72d213,How can we enhance reputation in Blockchain consensus for Industry 4.0–A proposed approach by extending the PageRank algorithm
9,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_crossref_primary_10_37868_sei_v7i1_id499,Blockchain technologies and their application in security software development
10,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_ieee_primary_10195999,Resilience-Driven Scheme in Multiple Microgrids With Secure Transactive Energy System Framework
11,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_proquest_journals_2570776745,Adjusting the Block Interval in PoW Consensus by Block Interval Process Improvement
12,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_proquest_journals_3229497869,"Navigating the Blockchain Trilemma: A Review of Recent Advances and Emerging Solutions in Decentralization, Security, and Scalability Optimization"
13,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_citationtrail_10_1145_3615871,GBT-CHAIN: A System Framework for Solving the General Trilemma in Permissioned Blockchains
14,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_hal_primary_oai_HAL_hal_05228745v1,A Systematic Literature Review on Blockchain Storage Scalability
15,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_primary_10_1145_3704917,SymBChainSim: A Novel Simulation System for Info-Symbiotic Blockchain Management
16,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_a52991beabc140d29e8ed454e57cdf91,Solving blockchain trilemma using off‐chain storage protocol
17,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_0e10360bb5ed46c9bb7cbcd7e9cd5578,A Blockchain-Based Scalability Solution with Microgrids Peer-to-Peer Trade
18,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_plos_journals_3240696085,CrustChain: Resolving the blockchain trilemma via decentralized storage and proof-of-capacity consensus
21,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_citationtrail_10_18662_brain_11_1_15,Challenges and Emerging Solutions for Public Blockchains
23,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_crossref_citationtrail_10_1109_ACCESS_2024_3440180,Design and Implementation of a Blockchain-Enabled Transactive Energy Market
24,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_scitation_primary_10_1063_5_0293257,AI-driven blockchain for secure and scalable federated learning in 6G-NTN-enabled UAV networks
25,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_82f48348949e47ccb16251addee16fdb,MEchain—A novel mode to improve blockchain's real‐time and throughput
26,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_9899508,Industry 5.0 or industry 4.0S? Introduction to industry 4.0 and a peek into the prospective industry 5.0 technologies
27,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_e01c1949bfae49f1843e9f21edd09c4d,Confidential Smart Contracts and Blockchain to Implement a Watermarking Protocol
29,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_proquest_journals_3249684931,Blockchain Consensus Mechanisms: A Comprehensive Review and Performance Analysis Framework
30,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_crossref_primary_10_1145_3745790,3D-DAG: Scaling Blockchain via DAG
32,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/4e0t05/cdi_doaj_primary_oai_doaj_org_article_a2b47ac045b840ea8f2528f9f5283b10,"Breaking the Blockchain Trilemma: A Comprehensive Consensus Mechanism for Ensuring Security, Scalability, and Decentralization"
33,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_doaj_primary_oai_doaj_org_article_afced83ecf6548d3ac7214473486b4d4,Achieving scalable and decentralized blockchain systems: a filecoin-based solution to the blockchain trilemma
34,https://bentley.primo.exlibrisgroup.com/permalink/01BENTLEY_INST/14u672t/cdi_wanfang_journals_gc_e202007008,端对端能源交易现状分析与展望
